CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,PROYECTOS DE CONECTIVIDAD 2024,OPERADOR,ESTADO,MEDIO DE ENLACE,ANCHO DE BANDA DE SUBIDA (MB),ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,215135000236,I.E. TECNICA MARIA AUXILIADORA,415135000324,ESC CENTRO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.017563,-73.205673
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,315135000338,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000244,ESC RUR COLOMBIA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.018611,-73.08
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,215135000236,I.E. TECNICA MARIA AUXILIADORA,215135000317,ESC RUR HOYA GRANDE SAN JOSE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.043713442,-73.22386271
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,315135000338,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000091,ESC RUR HUERTA VIEJA ARRIBA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.029722,-73.096389
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,315135000338,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000074,ESC RUR YOTEGUENGUE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.004722,-73.050278
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,215135000236,I.E. TECNICA MARIA AUXILIADORA,215135000236,I.E. TECNICA MARIA AUXILIADORA - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.013333,-73.105
15,BOYACÁ,TUNDAMA,15162,CERINZA,115162000120,I.E. DE CERINZA,215162000035,ESC RUR COBAGOTE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.944737,-72.969455
15,BOYACÁ,TUNDAMA,15162,CERINZA,115162000120,I.E. DE CERINZA,215162000086,ESC RUR NOVARE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.93692208,-72.94243128
15,BOYACÁ,NEIRA,15172,CHINAVITA,315172000020,I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,215172000076,ESC ZANJA ABAJO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.1425,-73.359722
15,BOYACÁ,NEIRA,15172,CHINAVITA,315172000020,I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,215172000084,ESC ZANJA ARRIBA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.154493535,-73.34919658
